Key,en,uk,reviewed
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Цей стиль встановлює правильний формат і розміри. Дуже довгі анімації можуть перевищувати обмеження розміру файлу платформи, а деякі платформи обмежують певний вміст.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Відкрийте локальну папку моделі,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Відкрийте папку Character,False
MainMenu.Info.Log,Open Log Folder,Відкрити папку журналу,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Використання глобальної таблиці кольорів,False
MainMenu.Editor.ExportStatic,Export Static Image,Експорт статичного зображення,False
MainMenu.Editor.Player.Speed,Speed,швидкість,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Параметри статичного зображення,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Скинути параметри статичного зображення,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Частота дискретизації,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Цей перемикач дозволяє перемикатися між внутрішньою та спеціальною текстурою,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Відредагуйте файли PNG у папці Custom Texture. Зберігайте з прозорістю та не змінюйте розмір зображення,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Після збереження змін натисніть цю кнопку, щоб застосувати зміни до моделі.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Збережіть свого персонажа. Кнопка збереження розташована під списком символів у лівій частині інтерфейсу.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,"Перш ніж використовувати цю функцію, прочитайте посібник «Використання власних текстур».",False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Спеціальна текстура,False
MainMenu.Editor.Texture.Step1,Step 1,Крок 1,False
MainMenu.Editor.Texture.Step2,Step 2,Крок 2,False
MainMenu.Editor.Texture.Step3,Step 3,Крок 3,False
MainMenu.Editor.Texture.Step4,Step 4,Крок 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Виправити вибраний контур,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Скинути вибраний атлас,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Утиліта текстур,False
MainMenu.Editor.Texture.SelectAll,Select All,Виберіть усі,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Перемкнути вибір,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Список атласу,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Це скине вибрані сторінки атласу до вбудованих версій. Будь-які незбережені зміни буде втрачено та не можна буде відновити. Продовжити?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Алгоритм палітри,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,"Це перезапише вибрані файли текстури, і цю дію неможливо скасувати. Продовжити?",False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Деякі мови перекладаються нашою спільнотою або за допомогою машинного перекладу, тому якість може відрізнятися.

Ви можете змінити мову в налаштуваннях.

Дивіться {0}.

Хочете зробити внесок? Приєднуйтесь до нас на {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,учасників спільноти на GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Не показувати це знову,False
MainMenu.Editor.AssetTypeWS,Workshop,Майстерня,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Опублікувати модель у Workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Опублікувати персонажа в майстерні,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Режим завантаження,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Створити новий елемент,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Оновити наявний елемент,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Елемент для оновлення,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Назва,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,опис,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Видимість,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Громадський,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Тільки друзі,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Приватний,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Не в списку,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Змінити примітку,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Необхідні елементи (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Попередній перегляд зображення (шлях PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Опублікувати,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Скасувати,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(завантаження...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(немає опублікованих елементів),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Steam не готовий),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Очікування метаданих Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Виберіть опублікований елемент Workshop для оновлення.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Необхідно вказати назву.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Виправте зображення попереднього перегляду перед публікацією.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Створення елемента майстерні...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Завантаження предмета майстерні...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Файл попереднього перегляду зображення не знайдено.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Зображення попереднього перегляду має бути у форматі PNG, JPG або GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Розмір попереднього зображення має бути 1 МБ або менше (наразі {0} КБ).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Не вдалося прочитати зображення попереднього перегляду: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Не вдалося декодувати зображення попереднього перегляду.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Необхідний PublishedFileId недійсний: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam не ініціалізовано.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Завантажено предмет майстерні: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Постановчі файли публікації змінено. Закрийте це діалогове вікно та опублікуйте знову.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Перевірка необхідних предметів майстерні...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Не вдалося перевірити необхідні елементи майстерні.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Елемент майстерні {0} не знайдено або недоступний.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Елемент майстерні {0} не належить до цієї програми.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Помилка захоплення області перегляду: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Попередній перегляд зроблено з вікна перегляду.,False
