Key,en,sk,reviewed
TrashTuber Talk,TrashTuber Talk,TrashTuber Talk,False
TrashTuber Yap,TrashTuber Yap,TrashTuber Yap,False
Cheers,Cheers,Na zdravie,False
Dance 1,Dance 1,Tanec 1,False
Dance (Caramelldansen),Dance (Caramelldansen),tanec (Caramelldansen),False
Dance (Helltaker),Dance (Helltaker),Tanec (Helltaker),False
Dance (Low Cortisol),Dance (Low Cortisol),Tanec (nízky kortizol),False
Eat (Donut),Eat (Donut),Jesť (šiška),False
Eat (Popcorn),Eat (Popcorn),Jesť (popcorn),False
Eat (Watermelon),Eat (Watermelon),Jesť (vodný melón),False
Game,Game,Hra,False
Greeting 1,Greeting 1,Pozdrav 1,False
Greeting 2,Greeting 2,Pozdrav 2,False
Sparkling 1,Sparkling 1,Šumivé 1,False
Sparkling 2,Sparkling 2,Šumivé 2,False
Think (Confident),Think (Confident),Myslite (s istotou),False
Think (Serious),Think (Serious),Myslieť (vážne),False
Alert Custom,Alert Custom,Upozornenie Vlastné,False
Button,Button,Tlačidlo,False
Card Swipe,Card Swipe,Potiahnutie karty,False
Coke Shake,Coke Shake,Coca Shake,False
Dance (Scuba),Dance (Scuba),tanec (potápanie),False
Gift 1,Gift 1,Darček 1,False
Gift 2,Gift 2,Darček 2,False
Magic,Magic,Mágia,False
Reverse,Reverse,Obrátené,False
Scared 1,Scared 1,Vystrašený 1,False
Scared 2,Scared 2,Vystrašený 2,False
Six Seven,Six Seven,Šesť Sedem,False
Six Seven (Dum),Six Seven (Dum),Šesť sedem (Dum),False
Take My Money,Take My Money,Vezmite si moje peniaze,False
