Key,en,de,reviewed
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,Der Name darf nicht mit einem Punkt enden.,True
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,Der Name darf nicht nur Leerzeichen enthalten.,True
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Aktuelles Modell entladen,True
MainMenu.Settings.GeneralSettings,General Settings,Allgemeine Einstellungen,True
MainMenu.Settings.GeneralSettings.Language,Language,Sprache,True
MainMenu.Settings.ViewportSettings,Viewport Settings,Vorschau-Einstellungen,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Zoomgeschw.,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Rotationsgeschw.,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Modellmaßstab,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Horizontaler Versatz,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Vertikaler Versatz,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Vorschau-Einstellungen zurücksetzen,True
MainMenu.Settings.ExportSettings,Animation Export Settings,Animationsexport-Einstellungen,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Speicherort,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Voreinstellungen,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,True
MainMenu.Settings.ExportSettings.Width,Width,Breite,True
MainMenu.Settings.ExportSettings.Height,Height,Höhe,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Max. Frame-Anzahl begrenzen,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Max. Frame-Anzahl,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Alpha-Schwelle,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Dithering aktivieren,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Exporteinstellungen zurücksetzen,True
MainMenu.Editor.Export,Export Emote,Emote exportieren,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Lizenz vom Modellersteller bereitgestellt. Wird nur als Referenz angezeigt und gibt nicht die Ansichten oder Rechtsposition des EmoteLab-Entwicklers wieder.,True
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Lizenz nicht gefunden. Bestätige die erlaubte Nutzung mit dem Ersteller.,False
LicensePopup.Close,Close,Schließen,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,Exportordner öffnen,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Beispiel-Charaktere für integrierte Modelle laden,True
MainMenu.Settings.ModelSettings,Model Settings,Modelleinstellungen,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Charakterdaten werden gespeichert...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Charakter wird geladen...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Lizenzen Dritter,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Endbenutzer-Lizenzvereinbarung (EULA),True
MainMenu.Info.Documentation,Documentation,Dokumentation,True
MainMenu.Info.Discord,Join Our Discord,Tritt unserem Discord bei,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",Diese Voreinstellung legt das richtige Format und die richtigen Abmessungen fest. Sehr lange Animationen können die Dateigrößenbeschränkungen der Plattform überschreiten und einige Plattformen schränken bestimmte Inhalte ein.,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Lokalen Modellordner öffnen,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Charakterordner öffnen,True
MainMenu.Info.Log,Open Log Folder,Protokollordner öffnen,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Verwendung der globalen Farbtabelle,True
MainMenu.Editor.ExportStatic,Export Static Image,Statisches Bild exportieren,True
MainMenu.Editor.Player.Speed,Speed,Geschwindigkeit,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Statische Bildeinstellungen,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Statische Bildeinstellungen zurücksetzen,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Abtastrate,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Mit diesem Schalter kannst du zwischen der internen und der benutzerdefinierten Textur wechseln,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Bearbeite die PNGs im Ordner „Custom Texture“. Speichere mit Transparenz und ändere die Bildgröße nicht,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Nachdem du deine Änderungen gespeichert hast, klicke auf diesen Knopf, um die Änderungen auf dein Modell anzuwenden.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,"Speichere deinen Charakter. Der ""Speichern""-Knopf befindet sich unterhalb der Charakterliste auf der linken Seite der Oberfläche.",True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,"Bitte lies das Handbuch „Verwenden benutzerdefinierter Texturen“, bevor du diese Funktion verwendest.",True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Benutzerdefinierte Textur,True
MainMenu.Editor.Texture.Step1,Step 1,Schritt 1,True
MainMenu.Editor.Texture.Step2,Step 2,Schritt 2,True
MainMenu.Editor.Texture.Step3,Step 3,Schritt 3,True
MainMenu.Editor.Texture.Step4,Step 4,Schritt 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Ausgewählte Kontur korrigieren,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Ausgewählten Atlas zurücksetzen,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Textur-Werkzeug,True
MainMenu.Editor.Texture.SelectAll,Select All,Alle auswählen,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Auswahl umschalten,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas-Liste,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Dadurch werden die ausgewählten Atlasseiten auf die integrierten Versionen zurückgesetzt. Alle nicht gespeicherten Änderungen gehen verloren und können nicht wiederhergestellt werden. Weitermachen?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palettenalgorithmus,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Dadurch werden die ausgewählten Texturdateien überschrieben und können nicht rückgängig gemacht werden. Fortfahren?,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Einige Sprachen werden von unserer Community übersetzt oder durch maschinelle Übersetzung unterstützt, daher kann die Qualität variieren.

Sie können die Sprache in den Einstellungen ändern.

Sehen Sie sich unsere {0} an.

Möchten Sie einen Beitrag leisten? Begleiten Sie uns auf {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,Community-Mitwirkende auf GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Zeige das nicht noch einmal,False
MainMenu.Editor.AssetTypeWS,Workshop,Werkstatt,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Modell im Workshop veröffentlichen,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Charakter im Workshop veröffentlichen,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Upload-Modus,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Neues Element erstellen,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Vorhandenes Element aktualisieren,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Zu aktualisierendes Element,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titel,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Beschreibung,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Sichtweite,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Öffentlich,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Nur für Freunde,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privat,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Nicht gelistet,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Notiz ändern,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Erforderliche Elemente (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Vorschaubild (PNG/JPG-Pfad),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Veröffentlichen,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Stornieren,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(Laden...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(keine veröffentlichten Artikel),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Steam nicht bereit),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Warten auf Steam-Metadaten...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Wählen Sie ein veröffentlichtes Workshop-Element zum Aktualisieren aus.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Titel ist erforderlich.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Korrigieren Sie das Vorschaubild vor der Veröffentlichung.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Workshop-Element wird erstellt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Workshop-Artikel wird hochgeladen...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Vorschaubilddatei nicht gefunden.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Das Vorschaubild muss im PNG-, JPG- oder GIF-Format vorliegen.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Das Vorschaubild darf maximal 1 MB groß sein (derzeit {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Vorschaubild konnte nicht gelesen werden: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Vorschaubild konnte nicht dekodiert werden.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Erforderliche PublishedFileId ist ungültig: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam ist nicht initialisiert.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Workshop-Artikel hochgeladen: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Die Veröffentlichungs-Stagingdateien wurden geändert. Schließen Sie dieses Dialogfeld und veröffentlichen Sie es erneut.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Erforderliche Workshop-Artikel werden überprüft...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Die erforderlichen Workshop-Artikel konnten nicht überprüft werden.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Workshop-Artikel {0} wurde nicht gefunden oder ist nicht zugänglich.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Workshop-Artikel {0} gehört nicht zu dieser App.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Ansichtsfenstererfassung fehlgeschlagen: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Vorschau aus dem Ansichtsfenster aufgenommen.,False
