Key,en,sv,reviewed
Hair Highlight 2 ><,Hair Highlight 2 ><,Hair Highlight 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Hair Highlight 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Hair Highlight 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Hårhöjdpunkt 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Hair Highlight 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Hårhöjdpunkt 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Hair Highlight 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Hair Highlight 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,False
Hairline Outline,Hairline Outline,Hårlinje kontur,False
Hair Shine,Hair Shine,Hårglans,False
Hair Shine Outline,Hair Shine Outline,Hår glans kontur,False
Halo,Halo,Halo,False
Halo Outline,Halo Outline,Halo Outline,False
Hat,Hat,Hatt,False
Hat Outline,Hat Outline,Hattkontur,False
Hat Secondary,Hat Secondary,Hatt Sekundär,False
Hat Secondary Outline,Hat Secondary Outline,Hat sekundär kontur,False
Hammer,Hammer,Hammare,False
Ear Wing >>,Ear Wing >>,Öronvinge >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Öronvinge >> Kontur,False
Ear Wing <<,Ear Wing <<,Öronvinge <<,False
Ear Wing << Outline,Ear Wing << Outline,Öronvinge << Kontur,False
Heart,Heart,Hjärta,False
Horn >>,Horn >>,Horn >>,False
Horn >> Outline,Horn >> Outline,Horn >> Kontur,False
Horn <<,Horn <<,Horn <<,False
Horn << Outline,Horn << Outline,Horn << Outline,False
Horn ><,Horn ><,Horn ><,False
Horn >< Outline,Horn >< Outline,Horn >< Kontur,False
Jail Grill,Jail Grill,Jail Grill,False
Keyboard,Keyboard,Tangentbord,False
Kitchen Knife,Kitchen Knife,Kökskniv,False
Laptop,Laptop,Laptop,False
Laptop Light,Laptop Light,Ljus för bärbar dator,False
Leg >>,Leg >>,Ben >>,False
Leg <<,Leg <<,Ben <<,False
Lightstick Handle,Lightstick Handle,Lightstick handtag,False
Light Stick >>,Light Stick >>,Ljussticka >>,False
Light Stick <<,Light Stick <<,Ljussticka <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Meka >>,False
Mecha >> Outline,Mecha >> Outline,Meka >> Översikt,False
Mecha Outline,Mecha Outline,Mecha Outline,False
Mecha <<,Mecha <<,Meka <<,False
Mecha << Outline,Mecha << Outline,Meka << Översikt,False
Mouse,Mouse,Mus,False
Mouth/Tongue,Mouth/Tongue,Mun/tunga,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Mun/Tunga Skugga,False
Notepad,Notepad,Anteckningsblock,False
Outfit Collar,Outfit Collar,Outfit krage,False
Outfit Collar Outline,Outfit Collar Outline,Outfit krage Kontur,False
Outfit Inner,Outfit Inner,Outfit Inner,False
Outfit Inner Outline,Outfit Inner Outline,Outfit Inner Outline,False
Outfit Neckwear A,Outfit Neckwear A,Outfit Neckwear A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Outfit Neckwear A Outline,False
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Outfit Neckwear B Outline,False
Outfit Neckwear C,Outfit Neckwear C,Outfit Neckwear C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Outfit Neckwear C Outline,False
Outfit Outer,Outfit Outer,Outfit yttre,False
Outfit Outer Outline,Outfit Outer Outline,Outfit Outer Outline,False
Pencil,Pencil,Penna,False
Phone,Phone,Telefon,False
Phone Light,Phone Light,Telefonljus,False
Hair Pigtail >>,Hair Pigtail >>,Hår Pigtail >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Hår Pigtail >> Kontur,False
Hair Pigtail <<,Hair Pigtail <<,Hår Pigtail <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Hår Pigtail << Kontur,False
Rose,Rose,Ros,False
Round Sign,Round Sign,Runda tecken,False
Round Sign Text,Round Sign Text,Runda tecken Text,False
Hair Side,Hair Side,Hårsida,False
Hair Side Outline,Hair Side Outline,Hår sidokontur,False
Skin,Skin,Hud,False
Skin Outline,Skin Outline,Hudkontur,False
Square Sign,Square Sign,Fyrkantigt tecken,False
Square Sign Text,Square Sign Text,Fyrkantig teckentext,False
Steering Wheel,Steering Wheel,Ratt,False
Gas Bottle,Gas Bottle,Gasflaska,False
Pat Hand,Pat Hand,Pat Hand,False
Sticker Alert,Sticker Alert,Klistermärke Alert,False
Sticker Alert Effect,Sticker Alert Effect,Klistermärke Alert Effekt,False
Sticker Alert Outline,Sticker Alert Outline,Klistermärke Alert Kontur,False
Sticker Angry,Sticker Angry,Väggdekor Arg,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Klistermärke Utropstecken,False
Sticker Ghost,Sticker Ghost,Väggdekor Spöke,False
Sticker Heart,Sticker Heart,Väggdekor Hjärta,False
Sticker Laugh,Sticker Laugh,Väggdekor Skratt,False
Sticker Question Mark,Sticker Question Mark,Klistermärke frågetecken,False
Sticker Sleep,Sticker Sleep,Väggdekor Sömn,False
Sticker Star,Sticker Star,Klistermärke Stjärna,False
Sticker Steam,Sticker Steam,Klistermärke Steam,False
Sticker Surprise,Sticker Surprise,Väggdekor Överraskning,False
Sticker Sweat,Sticker Sweat,Väggdekor Svett,False
Sticker Sweat (Large),Sticker Sweat (Large),Klistermärke Sweat (Large),False
Sticker Volume,Sticker Volume,Dekalvolym,False
Sticky Note,Sticky Note,Sticky Note,False
Sticky Note Text,Sticky Note Text,Sticky Note Text,False
Eye Tear,Eye Tear,Ögatår,False
Utensil,Utensil,Redskap,False
Outfit Collar String,Outfit Collar String,Outfit krage String,False
Bell,Bell,Klocka,False
Confetti 1,Confetti 1,Konfetti 1,False
Confetti 2,Confetti 2,Konfetti 2,False
Confetti 3,Confetti 3,Konfetti 3,False
Microphone,Microphone,Mikrofon,False
Gleam,Gleam,Glimt,False
Video Camera,Video Camera,Videokamera,False
Point Hand,Point Hand,Peka Hand,False
Bowl,Bowl,Skål,False
Cake,Cake,Tårta,False
Candle Fire,Candle Fire,Ljus eld,False
Drawing Tablet,Drawing Tablet,Ritplatta,False
Love Letter,Love Letter,Kärleksbrev,False
Popper,Popper,Popper,False
Stylus,Stylus,Nål,False
Tablet,Tablet,Tablett,False
Musical Note 1,Musical Note 1,Musiknot 1,False
Musical Note 2,Musical Note 2,Musiknot 2,False
Phone Screen,Phone Screen,Telefonskärm,False
Tail,Tail,Svans,False
Tail Outline,Tail Outline,Svanskontur,False
Wing >>,Wing >>,Vinge >>,False
Wing >> Outline,Wing >> Outline,Ving >> Kontur,False
Wing <<,Wing <<,Vinge <<,False
Wing << Outline,Wing << Outline,Ving << Kontur,False
Cape,Cape,Cape,False
Cape Outline,Cape Outline,Cape Outline,False
Cheek,Cheek,Kind,False
Cockroach,Cockroach,Kackerlacka,False
Controller,Controller,Kontroller,False
Donut,Donut,Donut,False
Earring >>,Earring >>,Örhänge >>,False
Earring <<,Earring <<,Örhänge <<,False
Earring >> Outline,Earring >> Outline,Örhänge >> Kontur,False
Earring << Outline,Earring << Outline,Örhänge << Outline,False
Face Feature A >>,Face Feature A >>,Ansiktsfunktion A >>,False
Face Feature A <<,Face Feature A <<,Ansiktsfunktion A <<,False
Face Feature B >>,Face Feature B >>,Ansiktsfunktion B >>,False
Face Feature B <<,Face Feature B <<,Ansiktsfunktion B <<,False
Face Feature C,Face Feature C,Ansiktsfunktion C,False
Facial Hair A,Facial Hair A,Ansiktshår A,False
Facial Hair A Outline,Facial Hair A Outline,Ansiktshår En disposition,False
Facial Hair B,Facial Hair B,Ansiktshår B,False
Facial Hair B Outline,Facial Hair B Outline,Ansiktshår B Kontur,False
Glove >>,Glove >>,Handske >>,False
Glove >> Outline,Glove >> Outline,Handske >> Kontur,False
Glove <<,Glove <<,Handske <<,False
Glove << Outline,Glove << Outline,Handske << Kontur,False
Hand >>,Hand >>,Hand >>,False
Hand >> Outline,Hand >> Outline,Hand >> Kontur,False
Hand <<,Hand <<,Hand <<,False
Hand << Outline,Hand << Outline,Hand << Kontur,False
Gun,Gun,Pistol,False
Gun Flash,Gun Flash,Gun Flash,False
Lubricant,Lubricant,Smörjmedel,False
Megaphone,Megaphone,Megafon,False
Nose,Nose,Näsa,False
Piercing A >>,Piercing A >>,Piercing A >>,False
Piercing A >> Outline,Piercing A >> Outline,Piercing A >> Kontur,False
Piercing A <<,Piercing A <<,Piercing A <<,False
Piercing A << Outline,Piercing A << Outline,Piercing A << Kontur,False
Piercing B >>,Piercing B >>,Piercing B >>,False
Piercing B >> Outline,Piercing B >> Outline,Piercing B >> Kontur,False
Piercing B <<,Piercing B <<,Piercing B <<,False
Piercing B << Outline,Piercing B << Outline,Piercing B << Kontur,False
Pixel Sun Glasses,Pixel Sun Glasses,Pixel solglasögon,False
Pompom >>,Pompom >>,Pompom >>,False
Pompom <<,Pompom <<,Pompom <<,False
Spray,Spray,Spray,False
Sticker Light Bulb,Sticker Light Bulb,Klistermärke Glödlampa,False
Sticker Loading,Sticker Loading,Klistermärke laddas,False
Sunglasses,Sunglasses,Solglasögon,False
Sunglasses Reflection,Sunglasses Reflection,Solglasögon reflektion,False
Tape,Tape,Tejpa,False
Toilet,Toilet,Toalett,False
Trash Bin,Trash Bin,Papperskorgen,False
Wave Hand,Wave Hand,Våga Hand,False
Swatter,Swatter,Swatter,False
Hair Ponytail,Hair Ponytail,Hår hästsvans,False
Hair Ponytail Outline,Hair Ponytail Outline,Hår hästsvans kontur,False
Eyepatch,Eyepatch,Ögonlapp,False
Eyepatch Outline,Eyepatch Outline,Eyepatch Outline,False
Number Six,Number Six,Nummer sex,False
Number Seven,Number Seven,Nummer sju,False
