Key,en,ja,reviewed
Pat Hand,Pat Hand,なで手,True
Sticker Alert,Sticker Alert,アラート エフェクト,True
Sticker Alert Effect,Sticker Alert Effect,アラート エフェクト,True
Sticker Alert Outline,Sticker Alert Outline,アラート 輪郭,True
Sticker Angry,Sticker Angry,怒り エフェクト,True
Sticker Exclamation Mark,Sticker Exclamation Mark,びっくりマーク エフェクト,True
Sticker Ghost,Sticker Ghost,おばけ エフェクト,True
Sticker Heart,Sticker Heart,ハート エフェクト,True
Sticker Laugh,Sticker Laugh,笑い エフェクト,True
Sticker Question Mark,Sticker Question Mark,はてな エフェクト,True
Sticker Sleep,Sticker Sleep,睡眠 エフェクト,True
Sticker Star,Sticker Star,星 エフェクト,True
Sticker Steam,Sticker Steam,湯気 エフェクト,True
Sticker Surprise,Sticker Surprise,びっくり エフェクト,True
Sticker Sweat,Sticker Sweat,汗 エフェクト,True
Sticker Sweat (Large),Sticker Sweat (Large),汗 エフェクト（大）,True
Sticker Volume,Sticker Volume,音量 エフェクト,True
Sticky Note,Sticky Note,ふせん（ほげ）,True
Sticky Note Text,Sticky Note Text,ふせんの文字（ほげ）,True
Eye Tear,Eye Tear,涙,True
Utensil,Utensil,食器,True
Outfit Collar String,Outfit Collar String,襟ひも,True
Bell,Bell,ベル,True
Confetti 1,Confetti 1,紙吹雪 1,True
Confetti 2,Confetti 2,紙吹雪 2,True
Confetti 3,Confetti 3,紙吹雪 3,True
Microphone,Microphone,マイク,True
Gleam,Gleam,キラーン,True
Video Camera,Video Camera,ビデオカメラ,True
Point Hand,Point Hand,指さし手,True
Bowl,Bowl,ボウル,True
Cake,Cake,ケーキ,True
Candle Fire,Candle Fire,ろうそくの火,True
Drawing Tablet,Drawing Tablet,ペンタブ,True
Love Letter,Love Letter,ラブレター,True
Popper,Popper,クラッカー,True
Stylus,Stylus,ペンタブのペン,True
Tablet,Tablet,タブレット,True
Musical Note 1,Musical Note 1,音符 1,True
Musical Note 2,Musical Note 2,音符 2,True
Phone Screen,Phone Screen,スマホ画面,True
Tail,Tail,しっぽ,True
Tail Outline,Tail Outline,しっぽ 輪郭,True
Wing >>,Wing >>,翼 >>,True
Wing >> Outline,Wing >> Outline,翼 輪郭 >>,True
Wing <<,Wing <<,翼 <<,True
Wing << Outline,Wing << Outline,翼 輪郭 <<,True
Cape,Cape,ケープ,True
Cape Outline,Cape Outline,ケープ 輪郭,True
Cheek,Cheek,頬,True
Cockroach,Cockroach,虫,True
Controller,Controller,コントローラー,True
Donut,Donut,ドーナツ,True
Earring >>,Earring >>,イヤリング >>,True
Earring <<,Earring <<,イヤリング <<,True
Earring >> Outline,Earring >> Outline,イヤリング 輪郭 >>,True
Earring << Outline,Earring << Outline,イヤリング 輪郭 <<,True
Face Feature A >>,Face Feature A >>,顔パーツ A >>,True
Face Feature A <<,Face Feature A <<,顔パーツ A <<,True
Face Feature B >>,Face Feature B >>,顔パーツ B >>,True
Face Feature B <<,Face Feature B <<,顔パーツ B <<,True
Face Feature C,Face Feature C,顔パーツ C,True
Facial Hair A,Facial Hair A,ひげ A,True
Facial Hair A Outline,Facial Hair A Outline,ひげ A 輪郭,True
Facial Hair B,Facial Hair B,ひげ B,True
Facial Hair B Outline,Facial Hair B Outline,ひげ B 輪郭,True
Glove >>,Glove >>,手袋 >>,True
Glove >> Outline,Glove >> Outline,手袋 輪郭 >>,True
Glove <<,Glove <<,手袋 <<,True
Glove << Outline,Glove << Outline,手袋 輪郭 <<,True
Hand >>,Hand >>,手 >>,True
Hand >> Outline,Hand >> Outline,手 輪郭 >>,True
Hand <<,Hand <<,手 <<,True
Hand << Outline,Hand << Outline,手 輪郭 <<,True
Gun,Gun,銃,True
Gun Flash,Gun Flash,銃口フラッシュ,True
Lubricant,Lubricant,スプレー缶,True
Megaphone,Megaphone,メガホン,True
Nose,Nose,鼻,True
Piercing A >>,Piercing A >>,ピアス A >>,True
Piercing A >> Outline,Piercing A >> Outline,ピアス A 輪郭 >>,True
Piercing A <<,Piercing A <<,ピアス A <<,True
Piercing A << Outline,Piercing A << Outline,ピアス A 輪郭 <<,True
Piercing B >>,Piercing B >>,ピアス B >>,True
Piercing B >> Outline,Piercing B >> Outline,ピアス B 輪郭 >>,True
Piercing B <<,Piercing B <<,ピアス B <<,True
Piercing B << Outline,Piercing B << Outline,ピアス B 輪郭 <<,True
Pixel Sun Glasses,Pixel Sun Glasses,サングラス（ドット）,True
Pompom >>,Pompom >>,ポンポン >>,True
Pompom <<,Pompom <<,ポンポン <<,True
Spray,Spray,スプレー缶,True
Sticker Light Bulb,Sticker Light Bulb,電球（ひらめき）,True
Sticker Loading,Sticker Loading,ローディング,True
Sunglasses,Sunglasses,サングラス,True
Sunglasses Reflection,Sunglasses Reflection,サングラス 反射,True
Tape,Tape,テープ,True
Toilet,Toilet,トイレ,True
Trash Bin,Trash Bin,ゴミ箱,True
Wave Hand,Wave Hand,手振り,True
Swatter,Swatter,ハエたたき,True
Hair Ponytail,Hair Ponytail,ヘアポニーテール,False
Hair Ponytail Outline,Hair Ponytail Outline,髪ポニーテールの概要,False
Eyepatch,Eyepatch,眼帯,False
Eyepatch Outline,Eyepatch Outline,眼帯の輪郭,False
Number Six,Number Six,ナンバー6,False
Number Seven,Number Seven,ナンバー 7,False
