Key,en,ja,reviewed
Hair Framing >> Outline,Hair Framing >> Outline,ヘアフレーミング >> 概要,False
Hair Framing <<,Hair Framing <<,ヘアフレーミング <<,False
Hair Framing << Outline,Hair Framing << Outline,ヘアフレーミング << 概要,False
Gill,Gill,ギル,False
Gill Outline,Gill Outline,鰓の輪郭,False
Glasses,Glasses,眼鏡,False
Hairband A,Hairband A,ヘアバンドA,False
Hairband A Outline,Hairband A Outline,ヘアバンドA 概要,False
Hairband B,Hairband B,ヘアバンドB,False
Hairband B Outline,Hairband B Outline,ヘアバンドB アウトライン,False
Hairband C,Hairband C,ヘアバンドC,False
Hairband C Outline,Hairband C Outline,ヘアバンドC アウトライン,False
Hairband D,Hairband D,ヘアバンドD,False
Hairband D Outline,Hairband D Outline,ヘアバンド D アウトライン,False
Hair Bang >>,Hair Bang >>,ヘアバング >>,False
Hair Bang >> Outline,Hair Bang >> Outline,ヘアバング >> 概要,False
Hair Bang ><,Hair Bang ><,ヘアバング><,False
Hair Bang >< Outline,Hair Bang >< Outline,ヘアバング >< 概要,False
Hair Bang <<,Hair Bang <<,ヘアバング <<,False
Hair Bang << Outline,Hair Bang << Outline,ヘアバング << 概要,False
Hair Clip >>,Hair Clip >>,ヘアクリップ >>,False
Hair Clip >> Outline,Hair Clip >> Outline,ヘアクリップ >> 概要,False
Hair Clip <<,Hair Clip <<,ヘアクリップ <<,False
Hair Clip << Outline,Hair Clip << Outline,ヘアクリップ << 概要,False
Hair Highlight 1 >>,Hair Highlight 1 >>,ヘアハイライト1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,ヘアハイライト1 >> 概要,False
Hair Highlight 2 >>,Hair Highlight 2 >>,ヘアハイライト2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,ヘアハイライト2 >> 概要,False
Hair Highlight 3 >>,Hair Highlight 3 >>,ヘアハイライト3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,ヘアハイライト3 >> 概要,False
Hair Highlight 1 ><,Hair Highlight 1 ><,ヘアハイライト 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,ヘアハイライト 1 >< アウトライン,False
Hair Highlight 2 ><,Hair Highlight 2 ><,ヘアハイライト 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,ヘアハイライト 2 >< アウトライン,False
Hair Highlight 3 ><,Hair Highlight 3 ><,ヘアハイライト 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,ヘアハイライト 3 >< アウトライン,False
Hair Highlight 4 ><,Hair Highlight 4 ><,ヘアハイライト 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,ヘアハイライト 4 >< アウトライン,False
Hair Highlight 5 ><,Hair Highlight 5 ><,ヘアハイライト 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,ヘアハイライト 5 >< アウトライン,False
Hair Highlight 6 ><,Hair Highlight 6 ><,ヘアハイライト 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,ヘアハイライト 6 >< アウトライン,False
Hair Highlight 1 <<,Hair Highlight 1 <<,ヘアハイライト 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,ヘアハイライト 1 << 概要,False
Hair Highlight 2 <<,Hair Highlight 2 <<,ヘアハイライト 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,ヘアハイライト 2 << 概要,False
Hair Highlight 3 <<,Hair Highlight 3 <<,ヘアハイライト 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,ヘアハイライト 3 << 概要,False
Hairline Outline,Hairline Outline,生え際の輪郭,False
Hair Shine,Hair Shine,髪の輝き,False
Hair Shine Outline,Hair Shine Outline,髪の輝きの概要,False
Halo,Halo,ハロー,False
Halo Outline,Halo Outline,ハローの概要,False
Hat,Hat,帽子,False
Hat Outline,Hat Outline,帽子の輪郭,False
Hat Secondary,Hat Secondary,帽子セカンダリ,False
Hat Secondary Outline,Hat Secondary Outline,帽子の二次概要,False
Hammer,Hammer,ハンマー,False
Ear Wing >>,Ear Wing >>,イヤーウィング >>,False
Ear Wing >> Outline,Ear Wing >> Outline,イヤーウイング >> 概要,False
Ear Wing <<,Ear Wing <<,イヤーウィング <<,False
Ear Wing << Outline,Ear Wing << Outline,イヤーウィング << 概要,False
Heart,Heart,心臓,False
Horn >>,Horn >>,ホルン >>,False
Horn >> Outline,Horn >> Outline,ホルン >> 概要,False
Horn <<,Horn <<,ホルン <<,False
Horn << Outline,Horn << Outline,ホルン << 概要,False
Horn ><,Horn ><,ホーン ><,False
Horn >< Outline,Horn >< Outline,ホーン >< 概要,False
Jail Grill,Jail Grill,ジェイルグリル,False
Keyboard,Keyboard,キーボード,False
Kitchen Knife,Kitchen Knife,包丁,False
Laptop,Laptop,ラップトップ,False
Laptop Light,Laptop Light,ノートパソコンのライト,False
Leg >>,Leg >>,脚 >>,False
Leg <<,Leg <<,脚 <<,False
Lightstick Handle,Lightstick Handle,ライトスティックハンドル,False
Light Stick >>,Light Stick >>,ライトスティック >>,False
Light Stick <<,Light Stick <<,ライトスティック <<,False
Mecha,Mecha,メカ,False
Mecha >>,Mecha >>,メカ >>,False
Mecha >> Outline,Mecha >> Outline,メカ >> 概要,False
Mecha Outline,Mecha Outline,メカ概要,False
Mecha <<,Mecha <<,メカ <<,False
Mecha << Outline,Mecha << Outline,メカ << 概要,False
Mouse,Mouse,ねずみ,False
Mouth/Tongue,Mouth/Tongue,口・舌,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,口/舌の影,False
Notepad,Notepad,メモ帳,False
Outfit Collar,Outfit Collar,衣装の襟,False
Outfit Collar Outline,Outfit Collar Outline,衣装の襟の輪郭,False
Outfit Inner,Outfit Inner,衣装インナー,False
Outfit Inner Outline,Outfit Inner Outline,衣装の内側の輪郭,False
Outfit Neckwear A,Outfit Neckwear A,衣装ネックウェアA,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,服装 ネックウェア A 概要,False
Outfit Neckwear B,Outfit Neckwear B,衣装ネックウェアB,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,衣装 ネックウェアB 概要,False
Outfit Neckwear C,Outfit Neckwear C,衣装ネックウェアC,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,衣装 ネックウェア C 概要,False
Outfit Outer,Outfit Outer,衣装アウター,False
Outfit Outer Outline,Outfit Outer Outline,衣装の外側の輪郭,False
Pencil,Pencil,鉛筆,False
Phone,Phone,電話,False
Phone Light,Phone Light,電話ライト,False
Hair Pigtail >>,Hair Pigtail >>,おさげ髪 >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,おさげ髪 >> 概要,False
Hair Pigtail <<,Hair Pigtail <<,ヘアピグテール <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,おさげ髪 << 概要,False
Rose,Rose,薔薇,False
Round Sign,Round Sign,丸い看板,False
Round Sign Text,Round Sign Text,丸い記号のテキスト,False
Hair Side,Hair Side,髪側,False
Hair Side Outline,Hair Side Outline,髪側のアウトライン,False
Skin,Skin,肌,False
Skin Outline,Skin Outline,皮膚の輪郭,False
Square Sign,Square Sign,スクエアサイン,False
Square Sign Text,Square Sign Text,正方形の記号テキスト,False
Steering Wheel,Steering Wheel,ハンドル,False
Gas Bottle,Gas Bottle,ガスボトル,False
Pat Hand,Pat Hand,パットハンド,False
Sticker Alert,Sticker Alert,ステッカーアラート,False
Sticker Alert Effect,Sticker Alert Effect,ステッカーアラート効果,False
Sticker Alert Outline,Sticker Alert Outline,ステッカーアラート概要,False
Sticker Angry,Sticker Angry,怒っているステッカー,False
Sticker Exclamation Mark,Sticker Exclamation Mark,ステッカー感嘆符,False
Sticker Ghost,Sticker Ghost,ステッカーゴースト,False
Sticker Heart,Sticker Heart,ハートのステッカー,False
Sticker Laugh,Sticker Laugh,ステッカー笑い,False
Sticker Question Mark,Sticker Question Mark,クエスチョンマークのステッカー,False
Sticker Sleep,Sticker Sleep,ステッカースリープ,False
Sticker Star,Sticker Star,ステッカースター,False
Sticker Steam,Sticker Steam,ステッカースチーム,False
Sticker Surprise,Sticker Surprise,ステッカーサプライズ,False
Sticker Sweat,Sticker Sweat,ステッカースウェット,False
Sticker Sweat (Large),Sticker Sweat (Large),ステッカースウェット(大),False
Sticker Volume,Sticker Volume,ステッカーのボリューム,False
Sticky Note,Sticky Note,付箋,False
Sticky Note Text,Sticky Note Text,付箋のテキスト,False
Eye Tear,Eye Tear,目の涙,False
Utensil,Utensil,器具,False
Outfit Collar String,Outfit Collar String,衣装の襟紐,False
