Key,en,it,reviewed
Eat (Watermelon),Eat (Watermelon),Mangia (anguria),False
Game,Game,Gioco,False
Greeting 1,Greeting 1,Saluto 1,False
Greeting 2,Greeting 2,Saluto 2,False
Sparkling 1,Sparkling 1,Frizzante 1,False
Sparkling 2,Sparkling 2,frizzante 2,False
Think (Confident),Think (Confident),Pensa (fiducioso),False
Think (Serious),Think (Serious),Pensa (sul serio),False
Alert Custom,Alert Custom,Avviso personalizzato,False
Button,Button,Pulsante,False
Card Swipe,Card Swipe,Scorrimento della carta,False
Coke Shake,Coke Shake,Coca-Cola Shake,False
Dance (Scuba),Dance (Scuba),Danza (immersioni),False
Gift 1,Gift 1,Regalo 1,False
Gift 2,Gift 2,Regalo 2,False
Magic,Magic,Magia,False
Reverse,Reverse,Inversione,False
Scared 1,Scared 1,Spaventato 1,False
Scared 2,Scared 2,Spaventato 2,False
Six Seven,Six Seven,Sei Sette,False
Six Seven (Dum),Six Seven (Dum),Sei Sette (Dum),False
Take My Money,Take My Money,Prendi i miei soldi,False
