Key,en,ko,reviewed
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",라이선스를 찾을 수 없습니다. 제작자에게 허용된 사용 범위를 확인하세요.,False
LicensePopup.Close,Close,닫기,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,저장 폴더 열기,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,기본 제공 모델의 샘플 캐릭터 불러오기,True
MainMenu.Settings.ModelSettings,Model Settings,모델 설정,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,캐릭터 데이터를 저장하는 중...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,캐릭터 불러오는 중...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,제3자 라이선스,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),최종 사용자 라이선스 계약(EULA),True
MainMenu.Info.Documentation,Documentation,사용 설명서,True
MainMenu.Info.Discord,Join Our Discord,디스코드 참여하기,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","이 프리셋은 올바른 포맷과 크기를 자동으로 설정합니다. 단, 애니메이션이 너무 길면 플랫폼의 파일 용량 제한을 초과할 수 있으며, 일부 플랫폼에서는 특정 콘텐츠의 사용을 제한할 수 있습니다.",True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,로컬 모델 폴더 열기,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,캐릭터 폴더 열기,True
MainMenu.Info.Log,Open Log Folder,로그 폴더 열기,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,전역 색상표 사용,True
MainMenu.Editor.ExportStatic,Export Static Image,이미지 내보내기,True
MainMenu.Editor.Player.Speed,Speed,속도,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,이미지 설정,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,이미지 설정 초기화,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,샘플링 속도,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,이 토글을 사용하여 기본 텍스처와 커스텀 텍스처 사이를 전환할 수 있습니다.,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Custom Texture 폴더에서 PNG를 편집합니다. 저장 시 투명도를 유지하고 이미지 크기를 변경하지 마세요.,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",편집 내용을 저장한 후 이 버튼을 클릭하면 모델에 변경 사항이 적용됩니다.,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,캐릭터를 저장하세요. 저장 버튼은 인터페이스 왼쪽의 캐릭터 목록 아래에 있습니다.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,이 기능을 사용하기 전에 사용자 정의 텍스처 사용 매뉴얼을 읽어주세요.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,사용자 정의 텍스처,True
MainMenu.Editor.Texture.Step1,Step 1,1단계,True
MainMenu.Editor.Texture.Step2,Step 2,2단계,True
MainMenu.Editor.Texture.Step3,Step 3,3단계,True
MainMenu.Editor.Texture.Step4,Step 4,4단계,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,선택한 외곽선 수정,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,선택한 이미지 시트 초기화,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,텍스처 도구,True
MainMenu.Editor.Texture.SelectAll,Select All,전체 선택,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,선택 전환,True
MainMenu.Editor.Texture.AtlasList,Atlas List,이미지 시트 목록,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,선택한 이미지 시트 페이지를 기본(내장) 버전으로 초기화합니다. 저장하지 않은 편집 내용은 사라지며 복구할 수 없습니다. 계속하시겠습니까?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,색상 추출,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,"선택한 텍스처 파일을 덮어쓰며, 이 작업은 되돌릴 수 없습니다. 계속하시겠습니까?",True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","일부 언어는 커뮤니티에서 번역되거나 기계 번역의 도움을 받기 때문에 품질이 다를 수 있습니다.

설정에서 언어를 변경할 수 있습니다.

{0}를 확인하세요.

기여하고 싶나요? {1}에 참여하세요.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,GitHub의 커뮤니티 기고자,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,다시 표시하지 않음,False
MainMenu.Editor.AssetTypeWS,Workshop,작업장,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,모델을 워크샵에 게시,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,창작마당에 캐릭터 게시,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,업로드 모드,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,새 항목 만들기,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,기존 항목 업데이트,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,업데이트할 항목,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,제목,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,설명,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,시계,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,공공의,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,친구만,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,사적인,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,미등록,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,메모 변경,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),필수 항목(PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),미리보기 이미지(PNG/JPG 경로),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,게시,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,취소,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(로드 중...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(게시된 항목 없음),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(스팀이 준비되지 않았습니다),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Steam 메타데이터를 기다리는 중...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,업데이트할 게시된 창작마당 항목을 선택하세요.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,제목이 필요합니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,게시하기 전에 미리보기 이미지를 수정하세요.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,창작마당 아이템 생성 중...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,창작마당 항목 업로드 중...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,미리보기 이미지 파일을 찾을 수 없습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","미리보기 이미지는 PNG, JPG 또는 GIF여야 합니다.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,미리보기 이미지는 1MB(현재 {0}KB) 이하여야 합니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},미리보기 이미지를 읽지 못했습니다: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,미리보기 이미지를 디코딩할 수 없습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},필수 PublishedFileId가 잘못되었습니다: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,스팀이 초기화되지 않았습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},업로드된 창작마당 항목: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,게시 준비 파일이 수정되었습니다. 이 대화 상자를 닫고 다시 게시하세요.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,필수 창작마당 항목을 확인하는 중...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,필수 창작마당 아이템을 확인하지 못했습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,창작마당 항목 {0}을(를) 찾을 수 없거나 액세스할 수 없습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,창작마당 항목 {0}은(는) 이 앱에 속하지 않습니다.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},뷰포트 캡처 실패: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,뷰포트에서 캡처된 미리보기입니다.,False
