SliderName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
Character/FinGill_Position,Fin & Gill Position,Fin & Gill Position,鳍 & 鳃 位置,鰭 & 鰓 位置,Flossen- & Kiemenposition,Posición de aletas y branquias,Nageoires & Branchies Position,Uszony és kopoltyú pozíció,ヒレ／エラ 位置,지느러미 & 아가미 위치,Плавники & Жабры - Положение,Posição da Barbatana & Brânquia,Положення плавників і зябер,Posizione delle pinne e delle branchie,ตำแหน่งครีบและเหงือก,Yüzgeç ve Solungaç Konumu,Fin & Gill Position
Character/Halo_Position,Halo Position,Halo Position,光环 位置,光環 位置,Heiligenschein Position,Posición del halo,Halo Position,Halo pozíció,天使の輪 位置,헤일로 위치,Нимб - Положение,Posição da Auréola,Положення Halo,Posizione dell'alone,ตำแหน่ง Halo,Hale Konumu,Halo Position
Character/Hat_Position,Hat Position,Hat Position,帽子 位置,帽子 位置,Hut Position,Posición del sombrero,Chapeau Position,Kalap pozíció,帽子 位置,모자 위치,Шляпа - Положение,Posição do Chapéu,Положення капелюха,Posizione del cappello,ตำแหน่งหมวก,Şapka Konumu,Hattposition
Character/HornLeft_Length,Horn >> Length,Horn >> Length,角 >> 长度,角 >> 長度,Horn >> Länge,Cuerno >> Longitud,Corne >> Longueur,Kürt >> Hossz,角 >> 長さ,뿔 >> 길이,Рог >> Длина,Chifre >> Tamanho,Ріг >> Довж,Corno >> Lunghezza,เขา >> ความยาว,Boynuz >> Uzunluk,Horn >> Längd
Character/HornRight_Length,Horn << Length,Horn << Length,角 << 长度,角 << 長度,Horn << Länge,Cuerno << Longitud,Corne << Longueur,Kürt << Hossz,角 << 長さ,뿔 << 길이,Рог << Длина,Chifre << Tamanho,Ріг << Довж,Corno <<Lunghezza,เขา << ความยาว,Boynuz << Uzunluk,Horn << Längd
Character/HornMiddle_Length,Horn >< Length,Horn >< Length,角 >< 长度,角 >< 長度,Horn >< Länge,Cuerno >< Longitud,Corne >< Longueur,Kürt >< Hossz,角 中央 長さ,뿔 >< 길이,Рог >< Длина,Chifre >< Tamanho,Ріг >< Довж,Corno >< Lunghezza,เขา >< ความยาว,Boynuz >< Uzunluk,Horn >< Längd
Character/Horn_Position,Horn Position,Horn Position,角 位置,角 位置,Horn Position,Posición de la bocina,Cornes Position,Kürt pozíció,角 位置,뿔 위치,Рог - Положение,Posição do Chifre,Положення рога,Posizione del corno,ตำแหน่งเขา,Korna Konumu,Hornposition
Character/Headwing_Position,Ear Wing Position,Ear Wing Position,翅膀耳朵 位置,翅膀耳朵 位置,Ohrflügel Position,Posición del ala de la oreja,Ailes d'Oreilles Position,Fülszárny helyzete,耳羽 位置,날개 귀 위치,Крыло-ухо - Положение,Posição das Asas de Orelha,Положення крила вуха,Posizione dell'ala dell'orecchio,ตำแหน่งหูปีก,Kulak Kanadı Konumu,Öronvingeposition
Character/Wing_Size,Wing Size,Wing Size,翅膀 大小,翅膀 大小,Flügel Größe,Tamaño del ala,Ailes Taille,Szárny mérete,翼のサイズ,날개 크기,Крылья - Размер,Tamanho das Asas,Розмір крила,Dimensione dell'ala,ขนาดปีก,Kanatların Boyutu,Vingstorlek
Character/Wing_Position,Wing Position,Wing Position,翅膀 位置,翅膀 位置,Flügel Position,Posición del ala,Aile Position,Szárny pozíció,ウイングの位置,날개 위치,Крылья - Положение,Posição das Asas,Позиція крила,Posizione dell'ala,ตำแหน่งปีก,Kanatların Konumu,Vingposition
Character/Wing_Angle,Wing Angle,Wing Angle,翅膀 角度,翅膀 角度,Flügel Winkel,Ángulo del ala,Aile Angle,Szárnyszög,翼の角度,날개 각도,Крылья - Угол,Ângulo das Asas,Кут крила,Angolo dell'ala,มุมปีก,Kanatların Açısı,Vingevinkel
Character/Tail_Size,Tail Size,Tail Size,尾巴 大小,尾巴 大小,Schwanz Größe,Tamaño de la cola,Queue Taille,Farok mérete,尾のサイズ,꼬리 크기,Хвост - Размер,Tamanho da Cauda,Розмір хвоста,Dimensione della coda,ขนาดหาง,Kuyruk Boyutu,Svansstorlek
Character/Tail_Flip,Tail Flip,Tail Flip,尾巴 翻转,尾巴 翻轉,Schwanz Spiegeln,Voltear la cola,Queue Retournée,Tail Flip,テールフリップ,꼬리 좌우반전,Хвост - Отразить,Lado da Cauda,Перевертання хвоста,Capovolgimento della coda,พลิกหาง,Kuyruk Dönüşü,Tail Flip
Character/Tail_Angle,Tail Angle,Tail Angle,尾巴 角度,尾巴 角度,Schwanz Winkel,Ángulo de cola,Queue Angle,Farokszög,テール角度,꼬리 각도,Хвост - Угол,Ângulo da Cauda,Кут хвоста,Angolo della coda,มุมหาง,Kuyruk Açısı,Svansvinkel
