Key,en,uk,reviewed
Ear Wing >>,Ear Wing >>,Вухо Крило >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Крильце колоса >> Контур,False
Ear Wing <<,Ear Wing <<,Вухо Крило <<,False
Ear Wing << Outline,Ear Wing << Outline,Вухо Крило << Контур,False
Heart,Heart,серце,False
Horn >>,Horn >>,Ріг >>,False
Horn >> Outline,Horn >> Outline,Ріг >> Контур,False
Horn <<,Horn <<,Ріг <<,False
Horn << Outline,Horn << Outline,Горн << Контур,False
Horn ><,Horn ><,Ріг ><,False
Horn >< Outline,Horn >< Outline,Горн >< Контур,False
Jail Grill,Jail Grill,Тюремний гриль,False
Keyboard,Keyboard,Клавіатура,False
Kitchen Knife,Kitchen Knife,Кухонний ніж,False
Laptop,Laptop,Ноутбук,False
Laptop Light,Laptop Light,Світло ноутбука,False
Leg >>,Leg >>,Нога >>,False
Leg <<,Leg <<,Ніжка <<,False
Lightstick Handle,Lightstick Handle,Ручка Lightstick,False
Light Stick >>,Light Stick >>,Світлова паличка >>,False
Light Stick <<,Light Stick <<,Світлова паличка <<,False
Mecha,Mecha,Меха,False
Mecha >>,Mecha >>,Меха >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Схема,False
Mecha Outline,Mecha Outline,Механічний контур,False
Mecha <<,Mecha <<,Меха <<,False
Mecha << Outline,Mecha << Outline,Mecha << Схема,False
Mouse,Mouse,миша,False
Mouth/Tongue,Mouth/Tongue,Рот/Язик,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Тінь рота/язика,False
Notepad,Notepad,Блокнот,False
Outfit Collar,Outfit Collar,Екіпірування Комір,False
Outfit Collar Outline,Outfit Collar Outline,Контур коміра одягу,False
Outfit Inner,Outfit Inner,Наряд Внутрішній,False
Outfit Inner Outline,Outfit Inner Outline,Внутрішній контур спорядження,False
Outfit Neckwear A,Outfit Neckwear A,Одяг Одяг А,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Спорядження Neckwear контур,False
Outfit Neckwear B,Outfit Neckwear B,Одяг для шиї B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Спорядження Neckwear B контур,False
Outfit Neckwear C,Outfit Neckwear C,Одяг нашийник C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Спорядження Neckwear C контур,False
Outfit Outer,Outfit Outer,Одяг Зовнішній,False
Outfit Outer Outline,Outfit Outer Outline,Зовнішній контур спорядження,False
Pencil,Pencil,Олівець,False
Phone,Phone,Телефон,False
Phone Light,Phone Light,Світло телефону,False
Hair Pigtail >>,Hair Pigtail >>,Косичка для волосся >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Косичка для волосся >> Контур,False
Hair Pigtail <<,Hair Pigtail <<,Косичка для волосся <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Косичка для волосся << Контур,False
Rose,Rose,Роза,False
Round Sign,Round Sign,Круглий знак,False
Round Sign Text,Round Sign Text,круглий знак текст,False
Hair Side,Hair Side,Сторона волосся,False
Hair Side Outline,Hair Side Outline,Контур волосся збоку,False
Skin,Skin,Шкіра,False
Skin Outline,Skin Outline,Контур шкіри,False
Square Sign,Square Sign,Квадратний знак,False
Square Sign Text,Square Sign Text,Текст квадратного знака,False
Steering Wheel,Steering Wheel,Кермо,False
Gas Bottle,Gas Bottle,газовий балон,False
Pat Hand,Pat Hand,Пет Хенд,False
Sticker Alert,Sticker Alert,Сповіщення про наклейку,False
Sticker Alert Effect,Sticker Alert Effect,Ефект сповіщення про наклейку,False
Sticker Alert Outline,Sticker Alert Outline,Схема попередження про наклейку,False
Sticker Angry,Sticker Angry,Наклейка Angry,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Наклейка знак оклику,False
Sticker Ghost,Sticker Ghost,Наклейка Привид,False
Sticker Heart,Sticker Heart,Наклейка Серце,False
Sticker Laugh,Sticker Laugh,Наклейка Сміх,False
Sticker Question Mark,Sticker Question Mark,Наклейка знак питання,False
Sticker Sleep,Sticker Sleep,Наклейка Сон,False
Sticker Star,Sticker Star,Наклейка зірка,False
Sticker Steam,Sticker Steam,Наклейка Steam,False
Sticker Surprise,Sticker Surprise,Наклейка Сюрприз,False
Sticker Sweat,Sticker Sweat,Наклейка Піт,False
Sticker Sweat (Large),Sticker Sweat (Large),Наклейка Піт (велика),False
Sticker Volume,Sticker Volume,Обсяг наклейки,False
Sticky Note,Sticky Note,Наліпка,False
Sticky Note Text,Sticky Note Text,Текст липкої нотатки,False
Eye Tear,Eye Tear,Сльоза очей,False
Utensil,Utensil,Посуд,False
Outfit Collar String,Outfit Collar String,Спорядження Комір рядок,False
Bell,Bell,дзвоник,False
Confetti 1,Confetti 1,Конфетті 1,False
Confetti 2,Confetti 2,Конфетті 2,False
Confetti 3,Confetti 3,Конфетті 3,False
Microphone,Microphone,мікрофон,False
Gleam,Gleam,блиск,False
Video Camera,Video Camera,Відеокамера,False
Point Hand,Point Hand,Вказати руку,False
Bowl,Bowl,Чаша,False
Cake,Cake,Торт,False
Candle Fire,Candle Fire,Вогонь свічки,False
Drawing Tablet,Drawing Tablet,Планшет для малювання,False
Love Letter,Love Letter,Любовний лист,False
Popper,Popper,Поппер,False
Stylus,Stylus,Стилус,False
Tablet,Tablet,планшет,False
Musical Note 1,Musical Note 1,Музична нота 1,False
Musical Note 2,Musical Note 2,Музична нота 2,False
Phone Screen,Phone Screen,Екран телефону,False
Tail,Tail,хвіст,False
Tail Outline,Tail Outline,Контур хвоста,False
Wing >>,Wing >>,Крило >>,False
Wing >> Outline,Wing >> Outline,Крило >> Контур,False
Wing <<,Wing <<,Крило <<,False
Wing << Outline,Wing << Outline,Крило << Контур,False
Cape,Cape,мис,False
Cape Outline,Cape Outline,Контур мису,False
Cheek,Cheek,щока,False
Cockroach,Cockroach,Тарган,False
Controller,Controller,Контролер,False
Donut,Donut,Пончик,False
Earring >>,Earring >>,Сережка >>,False
Earring <<,Earring <<,Сережка <<,False
Earring >> Outline,Earring >> Outline,Сережка >> Контур,False
Earring << Outline,Earring << Outline,Сережка << Контур,False
Face Feature A >>,Face Feature A >>,Риса обличчя А >>,False
Face Feature A <<,Face Feature A <<,Риса обличчя A <<,False
Face Feature B >>,Face Feature B >>,Риса обличчя B >>,False
Face Feature B <<,Face Feature B <<,Риса обличчя B <<,False
Face Feature C,Face Feature C,Особливість обличчя C,False
Facial Hair A,Facial Hair A,Волосся на обличчі А,False
Facial Hair A Outline,Facial Hair A Outline,Контур волосся на обличчі,False
Facial Hair B,Facial Hair B,Волосся на обличчі Б,False
Facial Hair B Outline,Facial Hair B Outline,Волосся на обличчі B контур,False
Glove >>,Glove >>,Рукавичка >>,False
Glove >> Outline,Glove >> Outline,Рукавичка >> Контур,False
Glove <<,Glove <<,Рукавичка <<,False
Glove << Outline,Glove << Outline,Рукавичка << Контур,False
Hand >>,Hand >>,Рука >>,False
Hand >> Outline,Hand >> Outline,Рука >> Контур,False
Hand <<,Hand <<,Рука <<,False
Hand << Outline,Hand << Outline,Рука << контур,False
Gun,Gun,пістолет,False
Gun Flash,Gun Flash,Спалах пістолета,False
Lubricant,Lubricant,мастило,False
Megaphone,Megaphone,Мегафон,False
Nose,Nose,ніс,False
Piercing A >>,Piercing A >>,Пірсинг А >>,False
Piercing A >> Outline,Piercing A >> Outline,Пірсинг A >> Контур,False
Piercing A <<,Piercing A <<,Пірсинг A <<,False
Piercing A << Outline,Piercing A << Outline,Пірсинг A << Контур,False
Piercing B >>,Piercing B >>,Пірсинг B >>,False
Piercing B >> Outline,Piercing B >> Outline,Пірсинг B >> Контур,False
Piercing B <<,Piercing B <<,Пірсинг Б <<,False
Piercing B << Outline,Piercing B << Outline,Пірсинг B << Контур,False
Pixel Sun Glasses,Pixel Sun Glasses,Сонцезахисні окуляри Pixel,False
Pompom >>,Pompom >>,Помпон >>,False
Pompom <<,Pompom <<,Помпон <<,False
Spray,Spray,Спрей,False
Sticker Light Bulb,Sticker Light Bulb,Наклейка лампочки,False
Sticker Loading,Sticker Loading,Завантаження наклейки,False
Sunglasses,Sunglasses,Сонцезахисні окуляри,False
Sunglasses Reflection,Sunglasses Reflection,Сонцезахисні окуляри Reflection,False
Tape,Tape,Стрічка,False
Toilet,Toilet,Туалет,False
Trash Bin,Trash Bin,Відро для сміття,False
Wave Hand,Wave Hand,Хвиля рукою,False
Swatter,Swatter,Бійка,False
Hair Ponytail,Hair Ponytail,Хвіст для волосся,False
Hair Ponytail Outline,Hair Ponytail Outline,Контур зачіски в хвіст,False
Eyepatch,Eyepatch,Пов'язка на око,False
Eyepatch Outline,Eyepatch Outline,Контур пов'язки,False
Number Six,Number Six,Номер шість,False
Number Seven,Number Seven,Номер сім,False
