Key,en,uk,reviewed
Alert Custom,Alert Custom,Спеціальне сповіщення,False
Button,Button,Кнопка,False
Card Swipe,Card Swipe,Свайп картки,False
Coke Shake,Coke Shake,Кока-кола шейк,False
Dance (Scuba),Dance (Scuba),Танець (підводне плавання),False
Gift 1,Gift 1,Подарунок 1,False
Gift 2,Gift 2,Подарунок 2,False
Magic,Magic,Магія,False
Reverse,Reverse,Зворотний,False
Scared 1,Scared 1,Наляканий 1,False
Scared 2,Scared 2,Наляканий 2,False
Six Seven,Six Seven,Шість Сім,False
Six Seven (Dum),Six Seven (Dum),Шість Сім (Дум),False
Take My Money,Take My Money,Візьми мої гроші,False
