Key,en,fr,reviewed
Sticker Sweat (Large),Sticker Sweat (Large),Sueur (Grande),True
Sticker Volume,Sticker Volume,Volume,True
Sticky Note,Sticky Note,Post-it,True
Sticky Note Text,Sticky Note Text,Texte Post-it,True
Eye Tear,Eye Tear,Larmes,True
Utensil,Utensil,Ustensile,True
Outfit Collar String,Outfit Collar String,Tenue Lacets Hoodie,True
Bell,Bell,Cloche,True
Confetti 1,Confetti 1,Confetti 1,True
Confetti 2,Confetti 2,Confetti 2,True
Confetti 3,Confetti 3,Confetti 3,True
Microphone,Microphone,Micro,True
Gleam,Gleam,Lumière Lunettes de Soleil,True
Video Camera,Video Camera,Caméra,True
Point Hand,Point Hand,Pointer de la main,True
Bowl,Bowl,Bol,True
Cake,Cake,Gâteau,True
Candle Fire,Candle Fire,Feu de Bougie,True
Drawing Tablet,Drawing Tablet,Tablette Graphique,True
Love Letter,Love Letter,Lettre d'Amour,True
Popper,Popper,Bouton,True
Stylus,Stylus,Stylet,True
Tablet,Tablet,Tablette,True
Musical Note 1,Musical Note 1,Note de Musique 1,True
Musical Note 2,Musical Note 2,Note de Musique 2,True
Phone Screen,Phone Screen,Écran de Téléphone,True
Tail,Tail,Queue,True
Tail Outline,Tail Outline,Contour Queue,True
Wing >>,Wing >>,Aile >>,True
Wing >> Outline,Wing >> Outline,Contour Aile >>,True
Wing <<,Wing <<,Aile <<,True
Wing << Outline,Wing << Outline,Contour Aile <<,True
Cape,Cape,Cape,True
Cape Outline,Cape Outline,Contour Cape,True
Cheek,Cheek,Joues,True
Cockroach,Cockroach,Cafard,True
Controller,Controller,Manette,True
Donut,Donut,Donut,True
Earring >>,Earring >>,Boucle d'Oreille >>,True
Earring <<,Earring <<,Boucle d'Oreille <<,True
Earring >> Outline,Earring >> Outline,Contour Boucle d'Oreille >>,True
Earring << Outline,Earring << Outline,Contour Boucle d'Oreille <<,True
Face Feature A >>,Face Feature A >>,Caractéristique Faciale A >>,True
Face Feature A <<,Face Feature A <<,Caractéristique Faciale A <<,True
Face Feature B >>,Face Feature B >>,Caractéristique Faciale B >>,True
Face Feature B <<,Face Feature B <<,Caractéristique Faciale B <<,True
Face Feature C,Face Feature C,Caractéristique Faciale C,True
Facial Hair A,Facial Hair A,Barbe,True
Facial Hair A Outline,Facial Hair A Outline,Contour Barbe,True
Facial Hair B,Facial Hair B,Moustache,True
Facial Hair B Outline,Facial Hair B Outline,Contour Moustache,True
Glove >>,Glove >>,Gant >>,True
Glove >> Outline,Glove >> Outline,Contour Gant >> Aperçu,True
Glove <<,Glove <<,Gant <<,True
Glove << Outline,Glove << Outline,Contour Gant << Aperçu,True
Hand >>,Hand >>,Main >>,True
Hand >> Outline,Hand >> Outline,Contour Main >>,True
Hand <<,Hand <<,Main <<,True
Hand << Outline,Hand << Outline,Contour Main <<,True
Gun,Gun,Pistolet,True
Gun Flash,Gun Flash,Flash de Pistolet,True
Lubricant,Lubricant,Dégrippant,True
Megaphone,Megaphone,Mégaphone,True
Nose,Nose,Nez,True
Piercing A >>,Piercing A >>,Piercing A >>,True
Piercing A >> Outline,Piercing A >> Outline,Contour Piercing A >>,True
Piercing A <<,Piercing A <<,Piercing A <<,True
Piercing A << Outline,Piercing A << Outline,Contour Piercing A <<,True
Piercing B >>,Piercing B >>,Piercing B >>,True
Piercing B >> Outline,Piercing B >> Outline,Contour Piercing B >>,True
Piercing B <<,Piercing B <<,Piercing B <<,True
Piercing B << Outline,Piercing B << Outline,Contour Piercing B <<,True
Pixel Sun Glasses,Pixel Sun Glasses,Lunettes de Soleil Pixel,True
Pompom >>,Pompom >>,Pompon >>,True
Pompom <<,Pompom <<,Pompon <<,True
Spray,Spray,Pulvérisateur,True
Sticker Light Bulb,Sticker Light Bulb,Ampoule,True
Sticker Loading,Sticker Loading,Chargement,True
Sunglasses,Sunglasses,Lunettes de Soleil,True
Sunglasses Reflection,Sunglasses Reflection,Réflexion Lunettes de Soleil,True
Tape,Tape,Ruban Adhésif,True
Toilet,Toilet,Toilettes,True
Trash Bin,Trash Bin,Poubelle,True
Wave Hand,Wave Hand,Main Coucou,True
Swatter,Swatter,Tapette à Mouche,True
