Key,en,fr,reviewed
Caught in 4K (Phone),Caught in 4K (Phone),Pris en 4K (Téléphone),True
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Pris en 4K (Caméra),True
Celebration,Celebration,Célébration,True
Head Nod,Head Nod,Hochement de tête,True
Head Shake,Head Shake,Secouer la tête,True
Hypnosis,Hypnosis,Hypnose,True
Laugh (Point),Laugh (Point),Rire (Pointer),True
Love Letter,Love Letter,Lettre d'Amour,True
Need Food,Need Food,Demander de la Nourriture,True
PNGTuber Idle,PNGTuber Idle,PNGTuber Inactif,True
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Inactif 2,True
PNGTuber Loading,PNGTuber Loading,PNGTuber Chargement,True
PNGTuber Talk,PNGTuber Talk,PNGTuber Parler,True
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Parler 2,True
PNGTuber Yap,PNGTuber Yap,PNGTuber Jacasser,True
Popcat Frame,Popcat Frame,Popcat Frame,True
Popcat Smooth,Popcat Smooth,Popcat Animé,True
Sing,Sing,Chanter,True
Tablet,Tablet,Tablette,True
Tail Wag,Tail Wag,Remuer la queue,True
Bug,Bug,Beug,True
Cheer,Cheer,Encouragement,True
Easter,Easter,Pâques,True
Gun,Gun,Pistolet,True
Idea,Idea,Idée,True
Megaphone,Megaphone,Mégaphone,True
Paid Break (Easy Mode),Paid Break (Easy Mode),Pause Toilettes (Mode Facile),True
Paid Break (Hard Mode),Paid Break (Hard Mode),Pause Toilettes (Mode Difficile),True
Spray,Spray,Pulvérisation,True
Stops Working,Stops Working,Cesser de Fonctionner,True
Sunglasses Gleam,Sunglasses Gleam,Lunettes de Soleil,True
Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,Lunettes de Soleil Pixel,True
Sunglasses Remove,Sunglasses Remove,Enlever Lunettes de Soleil,True
Swatter,Swatter,Tapette à Mouche,True
Tape,Tape,Ruban Adhésif,True
Trash Bin,Trash Bin,Poubelle,True
TrashTuber Idle,TrashTuber Idle,TrashTuber Inactif,True
TrashTuber Talk,TrashTuber Talk,TrashTuber Parler,True
TrashTuber Yap,TrashTuber Yap,TrashTuber Jacasser,True
Cheers,Cheers,Acclamations,True
Dance 1,Dance 1,Danse 1,True
Dance (Caramelldansen),Dance (Caramelldansen),Danse (Caramelldansen),True
Dance (Helltaker),Dance (Helltaker),Danse (Helltaker),True
Dance (Low Cortisol),Dance (Low Cortisol),Danse (Faible Taux de Cortisol),True
Eat (Donut),Eat (Donut),Manger (Donut),True
Eat (Popcorn),Eat (Popcorn),Manger (Pop-Corn),True
Eat (Watermelon),Eat (Watermelon),Manger (Pastèque),True
Game,Game,Jouer,True
Greeting 1,Greeting 1,Salutation 1,True
Greeting 2,Greeting 2,Salutation 2,True
Sparkling 1,Sparkling 1,Pétillant 1,True
Sparkling 2,Sparkling 2,Pétillant 2,True
Think (Confident),Think (Confident),Réfléchir (Confiant),True
Think (Serious),Think (Serious),Réfléchir (Sérieux),True
Alert Custom,Alert Custom,Alerte personnalisée,False
Button,Button,Bouton,False
Card Swipe,Card Swipe,Glissement de carte,False
Coke Shake,Coke Shake,Coca-Shake,False
Dance (Scuba),Dance (Scuba),Danse (plongée),False
Gift 1,Gift 1,Cadeau 1,False
Gift 2,Gift 2,Cadeau 2,False
Magic,Magic,Magie,False
Reverse,Reverse,Inverse,False
Scared 1,Scared 1,Peur 1,False
Scared 2,Scared 2,Peur 2,False
Six Seven,Six Seven,Six Sept,False
Six Seven (Dum),Six Seven (Dum),Six Sept (Dum),False
Take My Money,Take My Money,Prends mon argent,False
