Key,en,ru,reviewed
Sweat,Sweat,Потливость,False
Thumb Down,Thumb Down,Большой палец вниз,False
Thumb Up,Thumb Up,Большой палец вверх,False
Type Angry,Type Angry,Злое печатание,False
Type Annoyed,Type Annoyed,Раздраженное печатание,False
Type Normal,Type Normal,Печатание нормальное,False
Work Angry,Work Angry,Злой на работе,False
Work Nap,Work Nap,Уснул на работе,False
Work Normal,Work Normal,Работает обычно,False
Work Tired,Work Tired,Усталость от работы,False
Bell,Bell,Колокольчик,False
Cake,Cake,Торт,False
Caught in 4K (Phone),Caught in 4K (Phone),Снимает в 4K (телефон),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Снимает в 4K (видеокамера),False
Celebration,Celebration,Празднование,False
Head Nod,Head Nod,Кивок головой,False
Head Shake,Head Shake,Покачивание головой,False
Hypnosis,Hypnosis,Гипноз,False
Laugh (Point),Laugh (Point),Смех (Обвинение),False
Love Letter,Love Letter,Любовное письмо,False
Need Food,Need Food,Нуждаюсь в еде,False
PNGTuber Idle,PNGTuber Idle,PNG-tuber в покое,False
PNGTuber Idle 2,PNGTuber Idle 2,PNG-tuber в покое 2,False
PNGTuber Loading,PNGTuber Loading,PNGTuber Загрузка,False
PNGTuber Talk,PNGTuber Talk,PNG-tuber говорит,False
PNGTuber Talk 2,PNGTuber Talk 2,PNG-tuber говорит 2,False
PNGTuber Yap,PNGTuber Yap,PNG-tuber тявканье,False
Popcat Frame,Popcat Frame,Попкэт по кадрам,False
Popcat Smooth,Popcat Smooth,Попкэт плавный,False
Sing,Sing,Пение,False
Tablet,Tablet,Графический планшет,False
Tail Wag,Tail Wag,Виляние хвостом,False
Bug,Bug,Ошибка,False
Cheer,Cheer,Радость,False
Easter,Easter,Пасха,False
Gun,Gun,Пистолет,False
Idea,Idea,Идея,False
Megaphone,Megaphone,Мегафон,False
Paid Break (Easy Mode),Paid Break (Easy Mode),Оплачиваемый перерыв (простой режим),False
Paid Break (Hard Mode),Paid Break (Hard Mode),Оплачиваемый перерыв (сложный режим),False
Spray,Spray,Спрей,False
Stops Working,Stops Working,Перестает работать,False
Sunglasses Gleam,Sunglasses Gleam,Солнцезащитные очки,False
Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,Солнцезащитные очки Pixel Gleam,False
Sunglasses Remove,Sunglasses Remove,Солнцезащитные очки снять,False
Swatter,Swatter,Сваттер,False
Tape,Tape,Лента,False
Trash Bin,Trash Bin,мусорное ведро,False
TrashTuber Idle,TrashTuber Idle,TrashTuber Простой,False
TrashTuber Talk,TrashTuber Talk,TrashTuber Talk,False
TrashTuber Yap,TrashTuber Yap,TrashTuber Яп,False
Cheers,Cheers,Ваше здоровье,False
Dance 1,Dance 1,Танец 1,False
Dance (Caramelldansen),Dance (Caramelldansen),Танец (Карамельдансен),False
Dance (Helltaker),Dance (Helltaker),Танец (Helltaker),False
Dance (Low Cortisol),Dance (Low Cortisol),Танец (низкий уровень кортизола),False
Eat (Donut),Eat (Donut),Ешь (пончик),False
Eat (Popcorn),Eat (Popcorn),Ешьте (попкорн),False
Eat (Watermelon),Eat (Watermelon),Ешьте (арбуз),False
Game,Game,Игра,False
Greeting 1,Greeting 1,Приветствие 1,False
Greeting 2,Greeting 2,Приветствие 2,False
Sparkling 1,Sparkling 1,Игристое 1,False
Sparkling 2,Sparkling 2,Игристое 2,False
Think (Confident),Think (Confident),Подумай (Уверенно),False
Think (Serious),Think (Serious),Подумай (Серьезно),False
Alert Custom,Alert Custom,Пользовательское оповещение,False
Button,Button,Кнопка,False
Card Swipe,Card Swipe,Проведение карты,False
Coke Shake,Coke Shake,Кокс-коктейль,False
Dance (Scuba),Dance (Scuba),Танец (Подводное плавание),False
Gift 1,Gift 1,Подарок 1,False
Gift 2,Gift 2,Подарок 2,False
Magic,Magic,Магия,False
Reverse,Reverse,Обеспечить регресс,False
Scared 1,Scared 1,Испугался 1,False
Scared 2,Scared 2,Испуганный 2,False
Six Seven,Six Seven,Шесть Семь,False
Six Seven (Dum),Six Seven (Dum),Шесть Семь (Дум),False
Take My Money,Take My Money,Возьми мои деньги,False
