Key,en,ru,reviewed
Eye Highlight,Eye Highlight,Глаз Блик,False
Eyelashes,Eyelashes,Ресницы,False
Eye Iris Light >>,Eye Iris Light >>,Глаза Радужка Светлая >>,False
Eye Iris Light <<,Eye Iris Light <<,Глаза Радужка Светлая <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Контур глаза (Глупик),False
Eye Sparkling,Eye Sparkling,Сверкающие глаза,False
Eye Spiral,Eye Spiral,Глаз Спираль,False
Eye White,Eye White,Глаз Белок,False
Face Shadow,Face Shadow,Тень на лице,False
Fin >>,Fin >>,Плавник >>,False
Fin >> Outline,Fin >> Outline,Плавник >> Контур,False
Fin <<,Fin <<,Плавник <<,False
Fin << Outline,Fin << Outline,Плавник << Контур,False
Hair Framing >>,Hair Framing >>,Прядь волос >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Прядь волос >> Контур,False
Hair Framing <<,Hair Framing <<,Прядь волос <<,False
Hair Framing << Outline,Hair Framing << Outline,Прядь волос << Контур,False
Gill,Gill,Жабры,False
Gill Outline,Gill Outline,Жабры Контур,False
Glasses,Glasses,Очки,False
Hairband A,Hairband A,Банты А,False
Hairband A Outline,Hairband A Outline,Банты A Контур,False
Hairband B,Hairband B,Повязки на голову Б,False
Hairband B Outline,Hairband B Outline,Повязки на голову B Контур,False
Hairband C,Hairband C,Ободок С,False
Hairband C Outline,Hairband C Outline,Ободок C Контур,False
Hairband D,Hairband D,Бант сзади D,False
Hairband D Outline,Hairband D Outline,Бант сзади D Контур,False
Hair Bang >>,Hair Bang >>,Челка >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Челка >> Контур,False
Hair Bang ><,Hair Bang ><,Челка ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Челка >< Контур,False
Hair Bang <<,Hair Bang <<,Челка <<,False
Hair Bang << Outline,Hair Bang << Outline,Челка << Контур,False
Hair Clip >>,Hair Clip >>,Заколка >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Заколка >> Контур,False
Hair Clip <<,Hair Clip <<,Заколка  <<,False
Hair Clip << Outline,Hair Clip << Outline,Заколка << Контур,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Торчащий волос 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Торчащий волос 1 >> Контур,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Торчащий волос 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Торчащий волос 2 >> Контур,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Торчащий волос 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Торчащий волос 3 >> Контур,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Торчащий волос 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Торчащий волос 1 >< Контур,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Торчащий волос 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Торчащий волос 2 >< Контур,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Торчащий волос 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Торчащий волос 3 >< Контур,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Торчащий волос 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Торчащий волос 4 >< Контур,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Торчащий волос 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Торчащий волос 5 >< Контур,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Торчащий волос 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Торчащий волос 6 >< Контур,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Торчащий волос 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Торчащий волос 1 << Контур,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Торчащий волос 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Торчащий волос 2 << Контур,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Торчащий волос 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Торчащий волос 3 << Контур,False
Hairline Outline,Hairline Outline,Линия роста волос Контур,False
Hair Shine,Hair Shine,Волосы Сияние,False
Hair Shine Outline,Hair Shine Outline,Волосы Сияние Контур,False
Halo,Halo,Нимб,False
Halo Outline,Halo Outline,Нимб Контур,False
Hat,Hat,Шляпа,False
Hat Outline,Hat Outline,Шляпа Контур,False
Hat Secondary,Hat Secondary,Шляпа 2,False
Hat Secondary Outline,Hat Secondary Outline,Шляпа 2 Контур,False
Hammer,Hammer,Молоток,False
Ear Wing >>,Ear Wing >>,Крыло-ухо >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Крыло-ухо >> Контур,False
Ear Wing <<,Ear Wing <<,Крыло-ухо <<,False
Ear Wing << Outline,Ear Wing << Outline,Крыло-ухо << Контур,False
Heart,Heart,Сердце,False
Horn >>,Horn >>,Рог >>,False
Horn >> Outline,Horn >> Outline,Рог >> Контур,False
Horn <<,Horn <<,Рог <<,False
Horn << Outline,Horn << Outline,Рог << Контур,False
Horn ><,Horn ><,Рог ><,False
Horn >< Outline,Horn >< Outline,Рог >< Контур,False
Jail Grill,Jail Grill,Тюремный решетка,False
Keyboard,Keyboard,Клавиатура,False
Kitchen Knife,Kitchen Knife,Кухонный нож,False
Laptop,Laptop,Ноутбук,False
Laptop Light,Laptop Light,Ноутбук Свечение,False
Leg >>,Leg >>,Нога >>,False
Leg <<,Leg <<,Нога <<,False
Lightstick Handle,Lightstick Handle,Рукоять Лайтстик,False
Light Stick >>,Light Stick >>,Лайтстик >>,False
Light Stick <<,Light Stick <<,Лайтстик <<,False
Mecha,Mecha,Меха,False
Mecha >>,Mecha >>,Меха >>,False
Mecha >> Outline,Mecha >> Outline,Меха >> Контур,False
Mecha Outline,Mecha Outline,Меха Контур,False
Mecha <<,Mecha <<,Меха <<,False
Mecha << Outline,Mecha << Outline,Меха << Контур,False
Mouse,Mouse,Мышь,False
Mouth/Tongue,Mouth/Tongue,Рот/Язык,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Рот/Язык Тень,False
Notepad,Notepad,Блокнот,False
Outfit Collar,Outfit Collar,Воротник,False
Outfit Collar Outline,Outfit Collar Outline,Воротник Контур,False
Outfit Inner,Outfit Inner,Плечевая одежда,False
Outfit Inner Outline,Outfit Inner Outline,Плечевая одежда Контур,False
Outfit Neckwear A,Outfit Neckwear A, Галстук А,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Галстук A Контур,False
Outfit Neckwear B,Outfit Neckwear B,Галстук B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Галстук B Контур,False
Outfit Neckwear C,Outfit Neckwear C,Галстук С,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Галстук С Контур,False
Outfit Outer,Outfit Outer,Верхняя одежда,False
Outfit Outer Outline,Outfit Outer Outline,Верхняя одежда Контур,False
Pencil,Pencil,Карандаш,False
Phone,Phone,Телефон,False
Phone Light,Phone Light,Телефон Свет,False
Hair Pigtail >>,Hair Pigtail >>,Волосы Хвостик >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Волосы Хвостик>> Контур,False
Hair Pigtail <<,Hair Pigtail <<,Волосы Хвостик <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Волосы Хвостик<< Контур,False
Rose,Rose,Роза,False
Round Sign,Round Sign,Круглый знак,False
Round Sign Text,Round Sign Text,Круглый знак Текст,False
Hair Side,Hair Side,Боковые волосы,False
Hair Side Outline,Hair Side Outline,Боковые волосы Контур,False
Skin,Skin,Кожа,False
Skin Outline,Skin Outline,Кожа Контур,False
Square Sign,Square Sign,Квадратный знак,False
Square Sign Text,Square Sign Text,Квадратный знак Текст,False
Steering Wheel,Steering Wheel,Руль,False
Gas Bottle,Gas Bottle,Газовый баллон,False
Pat Hand,Pat Hand,Гладящая рука,False
Sticker Alert,Sticker Alert,Стикер Оповещение,False
Sticker Alert Effect,Sticker Alert Effect,Стикер Уведомление Эффект,False
Sticker Alert Outline,Sticker Alert Outline,Стикер Уведомление Контур,False
Sticker Angry,Sticker Angry,Стикер Злой,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Стикер Восклицательный знак,False
Sticker Ghost,Sticker Ghost,Стикер Призрак,False
Sticker Heart,Sticker Heart,Стикер Сердце,False
Sticker Laugh,Sticker Laugh,Стикер Смех,False
Sticker Question Mark,Sticker Question Mark,Стикер Вопросительный знак,False
Sticker Sleep,Sticker Sleep,Стикер Сон,False
Sticker Star,Sticker Star,Стикер Звезда,False
Sticker Steam,Sticker Steam,Стикер Пар,False
Sticker Surprise,Sticker Surprise,Стикер Сюрприз,False
Sticker Sweat,Sticker Sweat,Стикер Пот,False
Sticker Sweat (Large),Sticker Sweat (Large),Стикер Пот (Большой),False
Sticker Volume,Sticker Volume,Стикер Громкость,False
Sticky Note,Sticky Note,Стикер для заметок,False
Sticky Note Text,Sticky Note Text,Стикер заметок Текст,False
Eye Tear,Eye Tear,Глаз слеза,False
Utensil,Utensil,Столовые приборы,False
Outfit Collar String,Outfit Collar String,Воротник Шнурок,False
Bell,Bell,Колокольчик,False
Confetti 1,Confetti 1,Конфетти 1,False
Confetti 2,Confetti 2,Конфетти 2,False
Confetti 3,Confetti 3,Конфетти 3,False
Microphone,Microphone,Микрофон,False
Gleam,Gleam,Отблеск,False
Video Camera,Video Camera,Видеокамера,False
Point Hand,Point Hand,Указывающая рука,False
Bowl,Bowl,Чаша,False
Cake,Cake,Торт,False
Candle Fire,Candle Fire,Горящая свеча,False
Drawing Tablet,Drawing Tablet,Планшет для рисования,False
Love Letter,Love Letter,Любовное письмо,False
Popper,Popper,Поппер,False
Stylus,Stylus,Стилус,False
Tablet,Tablet,Графический планшет,False
Musical Note 1,Musical Note 1,Музыкальная нота 1,False
Musical Note 2,Musical Note 2,Музыкальная нота 2,False
Phone Screen,Phone Screen,Экран телефона,False
Tail,Tail,Хвост,False
Tail Outline,Tail Outline,Хвост Контур,False
Wing >>,Wing >>,Крылья >>,False
Wing >> Outline,Wing >> Outline,Крылья >> Контур,False
Wing <<,Wing <<,Крылья <<,False
Wing << Outline,Wing << Outline,Крылья << Контур,False
Cape,Cape,Мыс,False
Cape Outline,Cape Outline,Контур мыса,False
Cheek,Cheek,Щека,False
Cockroach,Cockroach,Таракан,False
Controller,Controller,Контроллер,False
Donut,Donut,Пончик,False
Earring >>,Earring >>,Серьги >>,False
Earring <<,Earring <<,Серьга <<,False
Earring >> Outline,Earring >> Outline,Серьга >> Схема,False
Earring << Outline,Earring << Outline,Серьга << Контур,False
Face Feature A >>,Face Feature A >>,Черта лица А >>,False
Face Feature A <<,Face Feature A <<,Черта лица A <<,False
Face Feature B >>,Face Feature B >>,Черта лица B >>,False
Face Feature B <<,Face Feature B <<,Характеристика лица B <<,False
Face Feature C,Face Feature C,Характеристика лица C,False
Facial Hair A,Facial Hair A,Волосы на лице А,False
Facial Hair A Outline,Facial Hair A Outline,Волосы на лице: контур,False
Facial Hair B,Facial Hair B,Волосы на лице Б,False
Facial Hair B Outline,Facial Hair B Outline,Волосы на лице B. Контур,False
Glove >>,Glove >>,Перчатка >>,False
Glove >> Outline,Glove >> Outline,Перчатка >> Схема,False
Glove <<,Glove <<,Перчатка <<,False
Glove << Outline,Glove << Outline,Перчатка << Контур,False
Hand >>,Hand >>,Рука >>,False
Hand >> Outline,Hand >> Outline,Рука >> Схема,False
Hand <<,Hand <<,Рука <<,False
Hand << Outline,Hand << Outline,Рука << Контур,False
Gun,Gun,Пистолет,False
Gun Flash,Gun Flash,Пистолетная вспышка,False
Lubricant,Lubricant,Смазка,False
Megaphone,Megaphone,Мегафон,False
Nose,Nose,Нос,False
Piercing A >>,Piercing A >>,Пирсинг А >>,False
Piercing A >> Outline,Piercing A >> Outline,Пирсинг А >> Схема,False
Piercing A <<,Piercing A <<,Пирсинг А <<,False
Piercing A << Outline,Piercing A << Outline,Пирсинг А << Схема,False
Piercing B >>,Piercing B >>,Пирсинг Б >>,False
Piercing B >> Outline,Piercing B >> Outline,Пирсинг B >> Схема,False
Piercing B <<,Piercing B <<,Пирсинг Б <<,False
Piercing B << Outline,Piercing B << Outline,Пирсинг B << Схема,False
Pixel Sun Glasses,Pixel Sun Glasses,Пиксельные солнцезащитные очки,False
Pompom >>,Pompom >>,Помпон >>,False
Pompom <<,Pompom <<,Помпон <<,False
Spray,Spray,Спрей,False
Sticker Light Bulb,Sticker Light Bulb,Наклейка Лампочка,False
Sticker Loading,Sticker Loading,Загрузка стикера,False
Sunglasses,Sunglasses,Солнцезащитные очки,False
Sunglasses Reflection,Sunglasses Reflection,Солнцезащитные очки Отражение,False
Tape,Tape,Лента,False
Toilet,Toilet,Туалет,False
Trash Bin,Trash Bin,мусорное ведро,False
Wave Hand,Wave Hand,Волновая рука,False
Swatter,Swatter,Сваттер,False
Hair Ponytail,Hair Ponytail,Волосы,False
Hair Ponytail Outline,Hair Ponytail Outline,Контур волос,False
Eyepatch,Eyepatch,Повязка на глазу,False
Eyepatch Outline,Eyepatch Outline,Контур повязки на глазу,False
Number Six,Number Six,Номер шесть,False
Number Seven,Number Seven,Номер семь,False
