Key,en,fr,reviewed
MainMenu.Editor.OpenExportFolder,Open Export Folder,Ouvrir le dossier d'exportation,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Charger des exemples de personnages pour les modèles intégrés,True
MainMenu.Settings.ModelSettings,Model Settings,Paramètres du modèle,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Enregistrement des données du personnage...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Chargement du personnage...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licences tierces,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Contrat de licence utilisateur final (CLUF),True
MainMenu.Info.Documentation,Documentation,Documentation,True
MainMenu.Info.Discord,Join Our Discord,Rejoignez notre Discord,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Ce préréglage définit le format et les dimensions corrects. Les animations très longues peuvent dépasser les limites de taille de fichier de la plateforme, et certaines plateformes restreignent certains contenus.",True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Ouvrir le dossier du modèle local,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Ouvrir le dossier des personnages,True
MainMenu.Info.Log,Open Log Folder,Ouvrir le dossier du journal,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Utilisation de la table de couleurs globale,True
MainMenu.Editor.ExportStatic,Export Static Image,Exporter une image statique,True
MainMenu.Editor.Player.Speed,Speed,Vitesse,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Paramètres de l'image statique,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Réinitialiser les paramètres de l'image statique,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Taux d'échantillonnage,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Cette option vous permet de basculer entre la texture interne et la texture personnalisée,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Modifiez les fichiers PNG dans le dossier des textures personnalisées. Enregistrez avec la transparence et ne modifiez pas les dimensions de l'image,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Après avoir enregistré vos modifications, cliquez sur ce bouton pour appliquer les modifications à votre modèle.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Enregistrez votre personnage. Le bouton Enregistrer est situé sous la liste des personnages sur le côté gauche de l'interface.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Veuillez lire le manuel d'utilisation des textures personnalisées avant d'utiliser cette fonctionnalité.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Textures personnalisée,True
MainMenu.Editor.Texture.Step1,Step 1,Étape 1,True
MainMenu.Editor.Texture.Step2,Step 2,Étape 2,True
MainMenu.Editor.Texture.Step3,Step 3,Étape 3,True
MainMenu.Editor.Texture.Step4,Step 4,Étape 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corriger le contour sélectionné,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Réinitialiser l'Atlas sélectionné,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilitaire des textures,True
MainMenu.Editor.Texture.SelectAll,Select All,Sélectionner tout,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Basculer la sélection,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Liste de l'Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Cela réinitialisera les pages d'atlas sélectionnées vers les versions d'origine. Toute modification non enregistrée sera perdue et irrécupérable. Continuer ?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algorithme de palette,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Cela écrasera les fichiers des textures sélectionnés et ne pourra pas être annulé. Continuer ?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Certaines langues sont traduites par notre communauté ou assistées par la traduction automatique, la qualité peut donc varier.

Vous pouvez changer la langue dans les Paramètres.

Consultez nos {0}.

Vous voulez contribuer ? Rejoignez-nous sur {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,contributeurs de la communauté sur GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Ne plus montrer ça,True
MainMenu.Editor.AssetTypeWS,Workshop,Atelier,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publier le modèle dans l'atelier,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publier un personnage dans l'atelier,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Mode de téléchargement,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Créer un nouvel élément,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Mettre à jour l'élément existant,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Élément à mettre à jour,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titre,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Description,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilité,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Publique,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Amis seulement,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privé,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Non répertorié,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Modifier la note,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Éléments requis (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Image d'aperçu (chemin PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publier,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Annuler,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(chargement...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(aucun élément publié),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(La vapeur n'est pas prête),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,En attente des métadonnées Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Sélectionnez un élément d'atelier publié à mettre à jour.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Le titre est requis.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Corrigez l'image d'aperçu avant de publier.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Création d'un élément d'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Téléchargement de l'élément d'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Fichier image d'aperçu introuvable.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","L’image d’aperçu doit être au format PNG, JPG ou GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,L'image d'aperçu doit faire 1 Mo ou moins (actuellement {0} Ko).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Échec de la lecture de l'image d'aperçu : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,L'image d'aperçu n'a pas pu être décodée.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},L'ID de fichier publié requis n'est pas valide : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam n'est pas initialisé.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Élément d'atelier téléchargé : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Les fichiers de préparation de publication ont été modifiés. Fermez cette boîte de dialogue et publiez à nouveau.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Vérification des éléments requis de l'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Échec de la vérification des éléments requis de l'atelier.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,L'élément d'atelier {0} n'a pas été trouvé ou n'est pas accessible.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,L'élément d'atelier {0} n'appartient pas à cette application.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Échec de la capture de la fenêtre : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Aperçu capturé depuis la fenêtre.,False
