Key,en,zh-Hant,reviewed
Sticker Exclamation Mark,Sticker Exclamation Mark,表情貼紙 驚嘆號,True
Sticker Ghost,Sticker Ghost,表情貼紙 幽靈,True
Sticker Heart,Sticker Heart,表情貼紙 愛心,True
Sticker Laugh,Sticker Laugh,表情貼紙 笑,True
Sticker Question Mark,Sticker Question Mark,表情貼紙 問號,True
Sticker Sleep,Sticker Sleep,表情貼紙 睡覺,True
Sticker Star,Sticker Star,表情貼紙 星星,True
Sticker Steam,Sticker Steam,表情貼紙 氣,True
Sticker Surprise,Sticker Surprise,表情貼紙 驚嚇,True
Sticker Sweat,Sticker Sweat,表情貼紙 汗,True
Sticker Sweat (Large),Sticker Sweat (Large),表情貼紙 汗（大）,True
Sticker Volume,Sticker Volume,表情貼紙 音量,True
Sticky Note,Sticky Note,表情貼紙 便利貼,True
Sticky Note Text,Sticky Note Text,表情貼紙 便利貼 文字,True
Eye Tear,Eye Tear,眼睛 眼淚,True
Utensil,Utensil,餐具,True
Outfit Collar String,Outfit Collar String,服裝 領子 抽繩,True
Bell,Bell,鈴鐺,True
Confetti 1,Confetti 1,彩色紙屑 1,True
Confetti 2,Confetti 2,彩色紙屑 2,True
Confetti 3,Confetti 3,彩色紙屑 3,True
Microphone,Microphone,麥克風,True
Gleam,Gleam,光暈,True
Video Camera,Video Camera,攝影機,True
Point Hand,Point Hand,指人手,True
Bowl,Bowl,碗,True
Cake,Cake,蛋糕,True
Candle Fire,Candle Fire,蠟燭 火焰,True
Drawing Tablet,Drawing Tablet,繪圖板,True
Love Letter,Love Letter,情書,True
Popper,Popper,拉炮,True
Stylus,Stylus,手寫筆,True
Tablet,Tablet,繪圖板,True
Musical Note 1,Musical Note 1,音樂 音符 1,True
Musical Note 2,Musical Note 2,音樂 音符 2,True
Phone Screen,Phone Screen,手機 螢幕,True
Tail,Tail,尾巴,True
Tail Outline,Tail Outline,尾巴 輪廓,True
Wing >>,Wing >>,翅膀 >>,True
Wing >> Outline,Wing >> Outline,翅膀 >> 輪廓,True
Wing <<,Wing <<,翅膀 <<,True
Wing << Outline,Wing << Outline,翅膀 << 輪廓,True
Cape,Cape,鬥篷,False
Cape Outline,Cape Outline,鬥篷 輪廓,False
Cheek,Cheek,臉頰,False
Cockroach,Cockroach,蟑螂,False
Controller,Controller,手柄,False
Donut,Donut,甜甜圈,False
Earring >>,Earring >>,耳環 >>,False
Earring <<,Earring <<,耳環 <<,False
Earring >> Outline,Earring >> Outline,耳環 >> 輪廓,False
Earring << Outline,Earring << Outline,耳環 << 輪廓,False
Face Feature A >>,Face Feature A >>,臉部特徵 A >>,False
Face Feature A <<,Face Feature A <<,臉部特徵 A <<,False
Face Feature B >>,Face Feature B >>,臉部特徵 B >>,False
Face Feature B <<,Face Feature B <<,臉部特徵 B <<,False
Face Feature C,Face Feature C,臉部特徵 C,False
Facial Hair A,Facial Hair A,鬍子 A,False
Facial Hair A Outline,Facial Hair A Outline,鬍子 A 輪廓,False
Facial Hair B,Facial Hair B,鬍子 B,False
Facial Hair B Outline,Facial Hair B Outline,鬍子 B 輪廓,False
Glove >>,Glove >>,手套 >>,False
Glove >> Outline,Glove >> Outline,手套 >> 輪廓,False
Glove <<,Glove <<,手套 <<,False
Glove << Outline,Glove << Outline,手套 << 輪廓,False
Hand >>,Hand >>,手 >>,False
Hand >> Outline,Hand >> Outline,手 >> 輪廓,False
Hand <<,Hand <<,手 <<,False
Hand << Outline,Hand << Outline,手 << 輪廓,False
Gun,Gun,槍,False
Gun Flash,Gun Flash,槍口閃光,False
Lubricant,Lubricant,潤滑劑,False
Megaphone,Megaphone,擴音器,False
Nose,Nose,鼻子,False
Piercing A >>,Piercing A >>,耳釘 A >>,False
Piercing A >> Outline,Piercing A >> Outline,耳釘 A >> 輪廓,False
Piercing A <<,Piercing A <<,耳釘 A <<,False
Piercing A << Outline,Piercing A << Outline,耳釘 A << 輪廓,False
Piercing B >>,Piercing B >>,耳釘 B >>,False
Piercing B >> Outline,Piercing B >> Outline,耳釘 B >> 輪廓,False
Piercing B <<,Piercing B <<,耳釘 B <<,False
Piercing B << Outline,Piercing B << Outline,耳釘 B << 輪廓,False
Pixel Sun Glasses,Pixel Sun Glasses,畫素太陽鏡,False
Pompom >>,Pompom >>,拉拉花 >>,False
Pompom <<,Pompom <<,拉拉花 <<,False
Spray,Spray,噴霧,False
Sticker Light Bulb,Sticker Light Bulb,表情貼紙 燈泡,False
Sticker Loading,Sticker Loading,表情貼紙 載入,False
Sunglasses,Sunglasses,太陽鏡,False
Sunglasses Reflection,Sunglasses Reflection,太陽鏡反光,False
Tape,Tape,膠帶,False
Toilet,Toilet,馬桶,False
Trash Bin,Trash Bin,垃圾桶,False
Wave Hand,Wave Hand,揮手 手,False
Swatter,Swatter,拍子,False
Hair Ponytail,Hair Ponytail,頭髮馬尾辮,False
Hair Ponytail Outline,Hair Ponytail Outline,頭髮馬尾辮輪廓,False
Eyepatch,Eyepatch,眼罩,False
Eyepatch Outline,Eyepatch Outline,眼罩輪廓,False
Number Six,Number Six,六號,False
Number Seven,Number Seven,第七號,False
